"#"	"语言key"	"#策划备注"	"ChineseSimplified"
	"Game.Name"		"星际力量"
	"Game.Description"		"Game Framework 演示程序"
	"Game.Website"		"http://GameFramework.cn/"
	"Game.Summary"		"这是一个使用 Game Framework 游戏框架制作的游戏演示项目，目的是对此游戏框架的使用方法做一些示范，供使用者参考Game.Introduction"
	"Game.Introduction"		"Game Framework 是基于 Unity 5.3+ 引擎的游戏框架，主要对游戏开发过程中常用模块进行了封装，很大程度地规范开发过程、加快开发速度并保证产品质量"
	"Menu.StartButton"		"开始"
	"Menu.SettingButton"		"设置"
	"Menu.AboutButton"		"关于"
	"Menu.QuitButton"		"退出"
	"Dialog.ConfirmButton"		"确定"
	"Dialog.CancelButton"		"取消"
	"Dialog.OtherButton"		"其他"
	"ForceUpdate.Title"		"强制更新"
	"ForceUpdate.Message"		"当前游戏版本过旧，是否前往更新？"
	"ForceUpdate.UpdateButton"		"更新"
	"ForceUpdate.QuitButton"		"退出"
	"AskQuitGame.Title"		"确认退出"
	"AskQuitGame.Message"		"是否确认退出游戏？"
	"Setting.Title"		"设置"
	"Setting.Music"		"音乐"
	"Setting.Sound"		"音效"
	"Setting.UISound"		"界面音效"
	"Setting.Language"		"语言"
	"Setting.LanguageTips"		"更改语言需要重启游戏"
