"#"	"语言key"	"#策划备注"	"Korean"
	"Game.Name"		"게임 프레임워크"
	"Game.Description"		"Game Framework 데모 프로그램"
	"Game.Website"		"http://GameFramework.cn/"
	"Game.Summary"		"이 데모는 Game Framework 게임 시스템을 사용하여 만든 게임 데모 입니다.게임 시스템의 사용방법을 설명해 드리기 위해 예를 들어 만든 데모이기에 사용방법을 참조해 주시길 바랍니다."
	"Game.Introduction"		"Game Framework 는 유니티 엔진 Unity 5.3+ 버전을 이용한 게임 시스템 입니다. 주로 게임 개발과정에서 자주 사용하는 모듈을 캡슐화 하여 개발 과정을 규범화 하고 개발 속도를 높이며 게임의 콜리티를 보장해 드릴 수 있습니다."
	"Menu.StartButton"		"시작"
	"Menu.SettingButton"		"설정"
	"Menu.AboutButton"		"정보"
	"Menu.QuitButton"		"아웃"
	"Dialog.ConfirmButton"		"확인"
	"Dialog.CancelButton"		"취소"
	"Dialog.OtherButton"		
	"ForceUpdate.Title"		"필수 업데이트"
	"ForceUpdate.Message"		"새로운 게임 버전이 있는데 업데이트를 원하십니까?"
	"ForceUpdate.UpdateButton"		"업데이트"
	"ForceUpdate.QuitButton"		"아웃"
	"AskQuitGame.Title"		"아웃 확인"
	"AskQuitGame.Message"		"게임 로그아웃을 원하십니까?"
	"Setting.Title"		"설정"
	"Setting.Music"		"음악"
	"Setting.Sound"		"효과음"
	"Setting.UISound"		"UI 효과음"
	"Setting.Language"		"언어"
	"Setting.LanguageTips"		"사용언어를 바꾼후 리부팅이 필요 합니다"
